Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Total Claim Amount,Policy Type,Vehicle Class,State,Gender
CL73599,,,Bachelor,8609.158215,79090,107,0,289.040734,Personal Auto,SUV,Arizona,F
ZR22245,,,College,4605.036646,22571,63,0,302.4,Personal Auto,Four-Door Car,Washington,F
JJ57298,,,College,18634.72656,0,139,0,1066.63167,Corporate Auto,SUV,Oregon,M
FF53048,,,Master,3465.52691,48744,86,0,412.8,Personal Auto,Two-Door Car,Arizona,F
HD83496,,,Bachelor,2478.180205,0,71,0,511.2,Corporate Auto,Four-Door Car,Arizona,M
DD94148,,,College,5792.439588,29530,74,0,222.478994,Personal Auto,Two-Door Car,California,M
FM52759,,,Bachelor,5548.031892,67798,69,0,331.2,Personal Auto,Four-Door Car,Nevada,M
OI39918,,,Bachelor,3443.301126,16208,93,0,446.4,Personal Auto,Two-Door Car,California,M
PC72443,,,College,4529.072491,94757,112,0,5.453269,Personal Auto,Four-Door Car,Oregon,F
OQ15169,,,High School or Below,5597.12496,37995,139,0,667.2,Corporate Auto,SUV,Washington,F
ZO89996,,,College,2616.613903,72302,66,0,316.8,Personal Auto,Two-Door Car,Oregon,M
OP70207,,,College,10506.88413,37934,137,1,385.440163,Personal Auto,Sports Car,Oregon,M
ID39569,,,High School or Below,10758.65568,19382,94,0,676.8,Personal Auto,Four-Door Car,Washington,M
RJ80405,,,Bachelor,5498.661301,33191,70,0,443.53718,Personal Auto,Four-Door Car,Arizona,M
NT21324,,,College,2791.880258,72389,70,0,206.158416,Personal Auto,Four-Door Car,Arizona,M
IY98928,,,Master,5176.157299,91475,64,0,73.295606,Personal Auto,Four-Door Car,Arizona,F
XJ81725,,,College,8166.878898,0,111,0,799.2,Personal Auto,Four-Door Car,California,M
FE62142,,,Bachelor,4267.076892,43682,107,0,148.003496,Corporate Auto,SUV,Oregon,F
ZH55575,,,Bachelor,5217.513287,39854,66,0,261.930545,Corporate Auto,Two-Door Car,California,F
WI86229,,,Master,7807.216137,52162,99,0,251.152889,Personal Auto,Two-Door Car,Oregon,M
QR42111,,,High School or Below,5058.927182,0,134,0,643.2,Special Auto,SUV,Arizona,F
DN71979,,,College,7772.579276,74755,195,0,1404.0,Personal Auto,Luxury Car,Arizona,M
IC22580,,,College,11533.96706,85339,95,0,392.7457,Personal Auto,Four-Door Car,California,M
MX93069,,,Doctor,5073.282126,57709,125,0,600.0,Personal Auto,SUV,Oregon,M
TG37225,,,College,4636.54647,26802,66,1,316.8,Personal Auto,Two-Door Car,California,M
GY69750,,,Master,5296.838482,0,73,0,152.080908,Personal Auto,Four-Door Car,Oregon,M
KX99703,,,College,6273.911874,18577,86,0,412.8,Personal Auto,Four-Door Car,Oregon,F
AA35519,,,College,8002.308333,0,107,0,513.6,Personal Auto,SUV,Arizona,F
FE99816,,,Bachelor,15563.36944,0,253,5,1214.4,Personal Auto,Luxury Car,Nevada,F
YP92773,,,Bachelor,4723.821588,21546,119,1,625.395925,Corporate Auto,Two-Door Car,Washington,F
CF26052,,,Bachelor,8436.350708,49182,70,0,165.410515,Personal Auto,Two-Door Car,Arizona,F
PR37714,,,Bachelor,7153.208425,32238,91,0,439.781453,Personal Auto,Four-Door Car,California,F
CE92675,,,College,6990.691643,0,68,0,326.4,Personal Auto,Four-Door Car,California,F
BK47926,,,High School or Below,6375.079233,98118,83,3,398.4,Personal Auto,Four-Door Car,California,M
BY62906,,,High School or Below,27990.35769,22971,101,0,562.021558,Personal Auto,SUV,Arizona,M
UY95661,,,Master,4971.727892,49161,63,2,171.746945,Personal Auto,Two-Door Car,California,M
OS84395,,,Bachelor,7611.949286,90252,95,0,122.924197,Corporate Auto,Four-Door Car,Nevada,M
JS53793,,,Doctor,2422.194555,25036,61,1,292.8,Corporate Auto,Four-Door Car,Arizona,F
BV25135,,,Bachelor,4647.423581,28314,121,0,580.8,Personal Auto,SUV,California,M
AF17671,,,Bachelor,7765.228166,56337,97,0,465.6,Personal Auto,Four-Door Car,Washington,F
AY30324,,,Bachelor,6189.443994,99074,77,1,208.38907,Special Auto,Two-Door Car,Oregon,F
XE17270,,,High School or Below,3520.696547,31708,94,1,451.2,Personal Auto,Two-Door Car,California,M
LS46182,,,Bachelor,2678.457672,0,83,1,398.4,Personal Auto,Four-Door Car,Nevada,M
LH33181,,,Bachelor,6274.564531,0,67,1,431.32052,Personal Auto,Four-Door Car,Arizona,M
AT84725,,,College,4650.063763,28215,65,0,468.0,Personal Auto,Two-Door Car,Washington,M
TP33286,,,High School or Below,12010.93726,0,119,0,856.8,Corporate Auto,Four-Door Car,Washington,M
YB79192,,,Bachelor,10193.77423,21119,128,0,614.4,Personal Auto,SUV,California,F
SC43870,,,Bachelor,15862.17507,0,66,0,475.2,Corporate Auto,Four-Door Car,California,M
OO72857,,,Bachelor,17254.03699,0,69,1,331.2,Personal Auto,Four-Door Car,Oregon,M
MO38559,,,Doctor,5294.230247,0,70,0,20.521312,Personal Auto,Four-Door Car,Arizona,F
RL65736,,,High School or Below,6274.447705,13662,85,0,408.0,Personal Auto,Four-Door Car,Oregon,F
ID30085,,,High School or Below,8007.399376,0,112,0,537.6,Personal Auto,Sports Car,Arizona,F
CO68055,,,Bachelor,30966.31981,0,109,0,691.401424,Personal Auto,SUV,Oregon,M
NX37589,,,Bachelor,2666.976685,79251,67,1,321.6,Personal Auto,Four-Door Car,Washington,F
BX88206,,,High School or Below,18572.01022,51294,116,0,113.237624,Corporate Auto,SUV,Nevada,F
AA30683,,,Bachelor,6595.101921,0,105,2,847.717402,Personal Auto,Four-Door Car,California,M
BD13927,,,High School or Below,2243.473907,0,62,0,675.468453,Personal Auto,Two-Door Car,California,F
SJ71233,,,College,7423.929008,0,107,0,513.6,Personal Auto,SUV,California,F
WK52692,,,College,4627.090729,29124,129,4,619.2,Personal Auto,SUV,Oregon,F
OG67387,,,College,4413.255399,0,65,0,312.0,Personal Auto,Four-Door Car,California,M
XR99310,,,College,3163.283136,97266,79,0,546.052144,Special Auto,Two-Door Car,California,M
GU84478,,,High School or Below,4908.124429,48207,63,2,164.974886,Personal Auto,Four-Door Car,Oregon,M
ZX29705,,,College,7850.590399,0,69,0,331.2,Corporate Auto,Four-Door Car,California,F
WN67367,,,Bachelor,3210.417377,0,88,0,325.917598,Personal Auto,Four-Door Car,California,F
QN67807,,,Bachelor,5387.40977,97316,67,0,309.076476,Personal Auto,Two-Door Car,Arizona,M
AU77281,,,College,2472.469209,63860,62,0,208.598246,Personal Auto,Four-Door Car,Oregon,F
DN46994,,,Bachelor,5403.586356,72633,67,0,155.761761,Personal Auto,Four-Door Car,California,F
OW97322,,,Bachelor,31410.92822,28013,266,0,1276.8,Personal Auto,Luxury Car,Oregon,M
ZC97171,,,High School or Below,7627.431532,60479,96,0,85.155359,Personal Auto,Four-Door Car,Arizona,F
NG69817,,,Bachelor,7540.390159,0,68,0,519.757811,Personal Auto,Two-Door Car,California,F
BS95225,,,College,2617.704041,14151,72,1,345.6,Personal Auto,Four-Door Car,California,M
AE93522,,,Bachelor,7212.143863,75891,61,0,61.285525,Corporate Auto,Two-Door Car,Washington,M
LP15901,,,Bachelor,6671.766636,0,183,0,1317.6,Personal Auto,Luxury SUV,Nevada,M
FB95495,,,College,5677.642084,53078,73,0,764.221884,Personal Auto,Four-Door Car,California,M
PE59735,,,High School or Below,22952.06778,20031,86,0,109.69048,Personal Auto,Four-Door Car,Oregon,F
WR73970,,,Bachelor,2960.567044,92070,74,0,368.669336,Corporate Auto,Four-Door Car,Arizona,M
JD15492,,,High School or Below,2446.681538,44509,61,0,226.731454,Personal Auto,Four-Door Car,Oregon,F
OF46381,,,High School or Below,7659.71722,0,73,0,525.6,Personal Auto,Two-Door Car,California,M
GP85044,,,Bachelor,4533.733641,91967,113,0,156.736745,Special Auto,SUV,Arizona,M
OO64005,,,Bachelor,2355.281389,0,63,0,302.4,Personal Auto,Four-Door Car,Oregon,F
VB42222,,,Bachelor,14316.84569,97379,119,0,354.764801,Personal Auto,Four-Door Car,Nevada,F
ZR79373,,,Bachelor,10179.71704,14290,271,0,1300.8,Personal Auto,Luxury SUV,Arizona,F
KH12081,,,High School or Below,8129.511,0,119,1,729.405742,Personal Auto,SUV,Arizona,F
WV64743,,,High School or Below,13272.22792,0,194,0,1396.8,Personal Auto,Luxury Car,Washington,M
ZT58755,,,High School or Below,17817.46464,0,68,0,256.916302,Personal Auto,Four-Door Car,Oregon,F
WX52894,,,College,25002.01883,21927,71,0,128.624785,Personal Auto,Four-Door Car,Nevada,M
EO51920,,,High School or Below,19955.25713,69096,99,0,64.669515,Corporate Auto,Four-Door Car,Oregon,F
AQ34238,,,Bachelor,4606.26977,0,72,2,518.4,Corporate Auto,Four-Door Car,Oregon,M
EI10204,,,High School or Below,15114.40241,28513,100,1,480.0,Personal Auto,SUV,Oregon,F
GY23881,,,High School or Below,4782.349875,81687,61,0,292.8,Personal Auto,Four-Door Car,Oregon,M
FL59259,,,High School or Below,6317.373557,13792,87,2,620.19254,Personal Auto,Four-Door Car,Nevada,F
RN45606,,,High School or Below,16224.54182,32184,136,1,266.146673,Personal Auto,SUV,Nevada,F
OJ64812,,,Bachelor,9585.501257,26432,88,3,422.4,Personal Auto,Four-Door Car,Washington,M
AK11669,,,Doctor,10130.93442,59232,85,0,408.0,Corporate Auto,Two-Door Car,Arizona,F
EM53324,,,College,7343.52792,0,72,3,345.6,Personal Auto,Four-Door Car,Oregon,F
JE99638,,,Bachelor,7699.632103,23577,68,0,91.815153,Personal Auto,Four-Door Car,Arizona,M
LR69185,,,College,5739.823806,0,80,0,848.201438,Personal Auto,Four-Door Car,Nevada,M
AS55478,,,Bachelor,3874.86854,26670,98,0,541.229321,Corporate Auto,Four-Door Car,Oregon,M
OB52091,,,Bachelor,8112.323843,87403,68,0,456.290338,Personal Auto,Four-Door Car,Washington,M
AM28777,,,College,2707.429536,51455,67,0,11.046789,Personal Auto,Four-Door Car,Oregon,F
AQ70385,,,High School or Below,5686.961001,30242,72,0,48.288036,Personal Auto,Four-Door Car,Oregon,M
FL22732,,,Bachelor,7381.623005,64311,62,0,157.174836,Personal Auto,Four-Door Car,Oregon,M
JD75068,,,College,2724.262292,0,70,0,405.384524,Corporate Auto,Four-Door Car,Oregon,F
MM70762,,,Master,9075.768214,37722,116,0,158.077504,Personal Auto,Sports Car,Arizona,M
JT46803,,,Bachelor,2756.543334,42336,69,0,25.605349,Personal Auto,Four-Door Car,Oregon,F
VO25938,,,Bachelor,8382.478392,25998,71,0,791.878042,Personal Auto,Four-Door Car,Oregon,M
FP31685,,,Bachelor,7868.0982,24887,68,0,326.4,Personal Auto,Four-Door Car,Oregon,F
LP69867,,,High School or Below,2851.645994,0,82,0,590.4,Personal Auto,Four-Door Car,Oregon,M
BX88330,,,College,7615.369665,90918,64,0,163.411884,Personal Auto,Four-Door Car,Washington,F
QQ86648,,,High School or Below,5658.531248,78834,72,2,345.6,Personal Auto,Two-Door Car,Oregon,M
VE80757,,,Bachelor,4307.464888,0,62,0,434.26667,Personal Auto,Two-Door Car,Oregon,M
BE69929,,,College,4820.704584,27872,61,0,186.857059,Personal Auto,Two-Door Car,Arizona,F
BM31989,,,College,8754.16043,24012,112,1,82.211282,Personal Auto,Four-Door Car,Arizona,M
HW27766,,,College,7259.328982,16367,94,0,515.569363,Personal Auto,Four-Door Car,Arizona,M
BC90645,,,Master,2675.029491,55479,68,1,117.964245,Personal Auto,Four-Door Car,California,F
GC36679,,,High School or Below,3305.129877,40778,86,0,412.8,Personal Auto,Four-Door Car,Oregon,M
VI74176,,,High School or Below,8984.040021,0,137,3,1532.080871,Personal Auto,SUV,Arizona,M
BX24569,,,Bachelor,3567.503755,0,102,0,660.430456,Personal Auto,SUV,California,M
DR32525,,,College,23747.46699,0,96,4,460.8,Personal Auto,Four-Door Car,Arizona,M
CP76842,,,College,3352.87052,95438,83,0,99.223092,Corporate Auto,Two-Door Car,Nevada,F
IH20118,,,High School or Below,5169.49937,12430,73,0,350.4,Personal Auto,Four-Door Car,Oregon,M
DA20472,,,High School or Below,8564.768226,95697,107,0,178.006524,Personal Auto,Sports Car,California,M
DN67273,,,High School or Below,8028.484649,0,74,0,532.8,Personal Auto,Two-Door Car,Oregon,F
ZZ20738,,,High School or Below,9000.439546,28108,114,0,547.2,Personal Auto,Sports Car,California,F
AS18084,,,College,11638.89947,25370,102,0,489.6,Personal Auto,Sports Car,California,F
FY21364,,,Bachelor,7376.795372,0,105,0,756.0,Corporate Auto,SUV,California,M
LL73047,,,High School or Below,7892.088107,28672,71,0,340.8,Personal Auto,Four-Door Car,California,F
CG15505,,,Master,19160.98994,22705,239,0,1294.700423,Personal Auto,Luxury SUV,California,F
ZZ22047,,,Bachelor,5548.031892,67798,69,0,331.2,Corporate Auto,Four-Door Car,Washington,M
NG56399,,,High School or Below,8319.5292,61367,70,0,498.533231,Personal Auto,Two-Door Car,Arizona,M
MD45928,,,High School or Below,13770.97618,59207,116,0,556.8,Personal Auto,Four-Door Car,Arizona,F
OV29928,,,College,5225.253777,67423,65,0,293.308765,Corporate Auto,Four-Door Car,Washington,F
OR28030,,,Bachelor,16979.79757,35095,73,0,525.6,Corporate Auto,Two-Door Car,California,M
LO48748,,,Master,7485.356469,26380,96,0,177.36984,Personal Auto,Four-Door Car,Oregon,F
FX95323,,,College,2639.644171,88731,66,0,148.971857,Personal Auto,Four-Door Car,Oregon,M
AG85127,,,Bachelor,8085.448545,61409,68,0,264.040157,Special Auto,Four-Door Car,Oregon,M
JN33628,,,Bachelor,12316.79698,0,167,0,1985.999807,Personal Auto,SUV,California,M
QU69375,,,High School or Below,5568.947534,0,79,1,407.440238,Corporate Auto,Two-Door Car,Nevada,M
FM37864,,,Bachelor,3571.82831,74931,89,0,230.84972,Personal Auto,Two-Door Car,California,F
IL23615,,,College,3350.244285,74770,86,0,412.8,Personal Auto,Four-Door Car,Oregon,M
FZ44411,,,Bachelor,2716.190293,0,95,5,619.267164,Corporate Auto,Four-Door Car,Arizona,M
JE32215,,,Bachelor,38887.9034,44299,107,0,180.085807,Personal Auto,Two-Door Car,California,F
FQ88964,,,College,2272.447229,0,71,1,390.498822,Personal Auto,Two-Door Car,Arizona,M
WW22291,,,Master,2849.252467,63326,72,0,361.564021,Personal Auto,Four-Door Car,California,M
EV39637,,,High School or Below,5328.320299,0,73,0,794.445585,Personal Auto,Four-Door Car,Oregon,F
TG36139,,,High School or Below,4679.977728,21720,128,0,837.905079,Corporate Auto,SUV,California,F
XN25550,,,College,5345.201117,55571,135,0,904.813121,Personal Auto,SUV,Oregon,M
NG94966,,,College,2437.084486,34759,61,0,302.353842,Personal Auto,Four-Door Car,California,M
AD28349,,,High School or Below,4637.544647,0,68,0,352.130674,Personal Auto,Four-Door Car,Arizona,M
VZ56705,,,Bachelor,8804.584902,38638,74,0,355.2,Personal Auto,Four-Door Car,Oregon,M
TQ82322,,,Bachelor,2438.689804,80927,62,0,211.660971,Personal Auto,Two-Door Car,California,F
CB77819,,,High School or Below,4736.34799,0,65,0,585.454243,Personal Auto,Two-Door Car,California,M
VG68427,,,High School or Below,5608.155723,81914,70,0,198.75466,Corporate Auto,Four-Door Car,Arizona,M
WO42164,,,High School or Below,6465.223746,0,92,0,662.4,Personal Auto,Four-Door Car,Oregon,M
NL87371,,,Bachelor,2435.245577,0,72,0,345.6,Personal Auto,Two-Door Car,Oregon,M
QW24080,,,College,2111.993329,0,74,4,369.822544,Personal Auto,Four-Door Car,Oregon,F
ZL53118,,,High School or Below,2347.591802,0,69,1,757.89114,Personal Auto,Four-Door Car,Arizona,M
GT19025,,,Bachelor,3636.561567,25407,98,0,284.239719,Personal Auto,Four-Door Car,Oregon,F
VN44400,,,College,5692.684466,86073,70,0,291.587866,Personal Auto,Two-Door Car,California,F
JF45126,,,Bachelor,4041.241758,23818,104,1,499.2,Personal Auto,SUV,Nevada,M
SW94040,,,College,7756.174223,21326,99,0,632.765462,Personal Auto,Four-Door Car,Oregon,F
XI36396,,,Bachelor,3151.16213,18486,86,0,412.8,Personal Auto,Four-Door Car,California,M
CL38926,,,Bachelor,7198.415033,10458,102,0,489.6,Corporate Auto,SUV,Oregon,M
CU10179,,,College,5263.921634,82528,131,0,258.036918,Personal Auto,Sports Car,California,F
BK57087,,,College,4347.159852,38223,112,2,537.6,Personal Auto,SUV,California,F
LF94282,,,Bachelor,2884.636779,63438,72,0,36.732923,Personal Auto,Two-Door Car,Nevada,M
BO46265,,,College,6906.201903,13432,92,0,610.567945,Personal Auto,Four-Door Car,Oregon,M
VJ45879,,,Bachelor,4450.220503,26848,114,0,100.557495,Personal Auto,Two-Door Car,California,M
FR12423,,,Bachelor,24127.50402,14072,71,0,511.2,Personal Auto,Four-Door Car,Oregon,M
IY87065,,,Bachelor,5246.278375,28909,66,0,456.702735,Corporate Auto,Two-Door Car,California,F
LR49944,,,Doctor,2744.73543,35159,68,0,150.501033,Personal Auto,Two-Door Car,Nevada,F
LU40443,,,Master,5543.802692,64255,70,0,193.86537,Personal Auto,Four-Door Car,Oregon,M
HN54181,,,College,6013.038073,0,84,0,604.8,Personal Auto,Four-Door Car,California,F
GC52187,,,College,3650.576237,88842,90,0,350.75997,Personal Auto,Two-Door Car,Nevada,F
FH22095,,,College,2520.818611,39377,64,0,307.2,Corporate Auto,Two-Door Car,California,M
KY55245,,,High School or Below,5169.49937,12430,73,0,350.4,Personal Auto,Four-Door Car,California,M
ST43920,,,Doctor,2395.57,21986,63,0,333.696228,Personal Auto,Two-Door Car,Arizona,F
GG84614,,,High School or Below,3031.587812,27435,76,0,455.545318,Personal Auto,Two-Door Car,Oregon,F
JW94491,,,College,11790.49617,25251,66,0,316.8,Personal Auto,Four-Door Car,California,M
EW51866,,,College,6755.076276,29881,85,0,17.92017,Personal Auto,Four-Door Car,Arizona,F
KU13616,,,Bachelor,11315.20373,11885,101,0,484.8,Personal Auto,Four-Door Car,California,F
CB15842,,,High School or Below,8207.702516,40420,104,0,499.2,Special Auto,SUV,California,M
RN66968,,,High School or Below,5332.615013,74837,66,0,376.502488,Personal Auto,Four-Door Car,California,M
IQ30108,,,High School or Below,3087.432549,67591,77,0,198.080417,Special Auto,Four-Door Car,Oregon,M
VB23257,,,Bachelor,4652.595489,47590,119,0,121.327914,Special Auto,SUV,Oregon,M
CV13878,,,High School or Below,2489.751297,75474,62,0,297.6,Personal Auto,Two-Door Car,California,F
FD14790,,,Bachelor,18196.63824,57177,92,0,441.6,Personal Auto,Four-Door Car,Oregon,M
VZ61940,,,Doctor,2668.731444,52344,66,0,182.607687,Personal Auto,Four-Door Car,Nevada,F
PX66705,,,High School or Below,8257.014532,20072,70,0,487.814322,Personal Auto,Four-Door Car,California,F
XG66314,,,College,12465.92416,33604,105,0,357.618596,Personal Auto,SUV,California,M
ZM40672,,,Master,6743.126791,0,61,0,292.8,Corporate Auto,Two-Door Car,Oregon,F
VF21523,,,High School or Below,2883.165412,37741,74,0,355.2,Corporate Auto,Two-Door Car,Nevada,F
OM50417,,,Bachelor,29973.41592,48471,83,1,208.904212,Personal Auto,Four-Door Car,Arizona,F
SO54368,,,College,4686.469674,58089,118,0,566.4,Personal Auto,SUV,Oregon,M
XZ62430,,,Bachelor,6057.07208,27681,83,0,398.4,Personal Auto,Two-Door Car,Arizona,M
RZ51338,,,Bachelor,6895.309989,28992,74,4,355.2,Personal Auto,Four-Door Car,Arizona,M
NV13794,,,High School or Below,9549.113813,55986,119,0,388.506303,Personal Auto,SUV,Nevada,F
JB23570,,,College,10593.59462,94042,132,0,633.6,Corporate Auto,SUV,California,M
MH24522,,,College,7735.465528,0,101,0,563.284331,Personal Auto,Sports Car,California,M
TD78032,,,High School or Below,2306.427813,0,67,0,482.4,Corporate Auto,Four-Door Car,Washington,M
WW41496,,,Bachelor,31234.89323,70164,88,0,375.401079,Personal Auto,Two-Door Car,Nevada,F
IF32545,,,Master,5096.673223,22886,65,0,312.0,Corporate Auto,Four-Door Car,Nevada,F
HF72557,,,Bachelor,3226.790317,19948,89,0,427.2,Personal Auto,Four-Door Car,Washington,M
MD41042,,,College,5896.536531,39293,74,0,352.740946,Personal Auto,Two-Door Car,Arizona,F
UP31333,,,College,13869.92705,28432,118,0,612.300581,Corporate Auto,SUV,Washington,M
UC35517,,,College,18532.40504,0,70,0,504.0,Corporate Auto,Four-Door Car,Oregon,M
HS89788,,,High School or Below,7716.439345,0,107,0,1166.754216,Personal Auto,Sports Car,Arizona,F
SG82836,,,High School or Below,6439.779016,47412,81,0,421.824276,Personal Auto,Two-Door Car,Oregon,M
VM50666,,,Doctor,9718.463569,0,65,0,312.0,Special Auto,Four-Door Car,California,M
MD70513,,,College,12759.27844,68351,107,0,725.339771,Personal Auto,SUV,Washington,M
YX96463,,,Bachelor,5926.980962,58733,74,0,355.2,Corporate Auto,Four-Door Car,Oregon,F
LH38387,,,Bachelor,11389.94398,58187,95,0,76.73348,Personal Auto,Two-Door Car,Nevada,F
BY59578,,,College,3497.483075,63189,88,0,569.124597,Personal Auto,Four-Door Car,California,M
RN12107,,,High School or Below,9476.901955,0,254,0,1828.8,Corporate Auto,Luxury Car,Oregon,F
MZ84108,,,Bachelor,9853.773193,44006,130,0,494.664784,Personal Auto,Sports Car,Arizona,M
JG68387,,,Bachelor,8099.40027,60932,101,0,484.8,Corporate Auto,SUV,Nevada,F
AQ94108,,,College,8507.832473,56704,71,0,84.715044,Corporate Auto,Four-Door Car,Oregon,F
NE85389,,,High School or Below,23903.68234,0,74,1,355.2,Personal Auto,Four-Door Car,Oregon,F
JQ35849,,,High School or Below,5360.557066,24254,68,0,326.4,Personal Auto,Four-Door Car,California,M
QU93024,,,Bachelor,29706.78459,0,128,0,1345.317161,Personal Auto,SUV,California,M
EQ90867,,,College,5431.213625,57125,68,0,326.4,Corporate Auto,Four-Door Car,Oregon,M
PG67485,,,High School or Below,9048.983447,0,119,0,571.2,Personal Auto,Sports Car,Nevada,M
OX62244,,,Bachelor,4359.74197,0,64,0,307.2,Personal Auto,Four-Door Car,California,M
MW98508,,,College,2889.087654,72075,73,2,22.569825,Special Auto,Four-Door Car,Oregon,F
MM50888,,,High School or Below,3056.217296,34317,78,2,263.592181,Personal Auto,Two-Door Car,Arizona,F
QZ19741,,,College,13815.7802,96745,179,5,859.2,Personal Auto,SUV,Oregon,F
ET10831,,,College,5116.727579,95427,65,0,442.808018,Personal Auto,Four-Door Car,Oregon,M
OL72669,,,Bachelor,10033.28281,0,146,0,1404.845849,Corporate Auto,SUV,Arizona,M
BM46418,,,College,2772.835753,30606,71,0,253.04739,Personal Auto,Two-Door Car,Nevada,M
VD78722,,,College,2647.519741,37876,69,0,300.056383,Personal Auto,Four-Door Car,Oregon,M
FL69981,,,Bachelor,4038.864803,0,110,0,528.0,Personal Auto,SUV,California,F
EG10175,,,Master,7781.89849,57474,97,0,280.037716,Personal Auto,Two-Door Car,California,F
WS60888,,,Bachelor,16473.16905,22828,106,0,508.8,Personal Auto,SUV,California,M
LM58227,,,High School or Below,5285.314179,65096,67,3,321.6,Personal Auto,Four-Door Car,Oregon,F
IK49861,,,Bachelor,3107.588649,0,88,0,87.135752,Personal Auto,Two-Door Car,Oregon,M
RM87465,,,High School or Below,5780.182197,51066,74,0,787.993313,Personal Auto,Four-Door Car,Arizona,M
BY75330,,,Bachelor,26939.51419,96866,113,1,377.385724,Personal Auto,SUV,California,M
CF41619,,,College,2329.459058,20934,61,1,292.8,Personal Auto,Four-Door Car,Nevada,M
ZZ54454,,,Master,4589.940596,32510,119,0,571.2,Personal Auto,Two-Door Car,Nevada,M
CU84967,,,High School or Below,4428.031583,58577,110,0,303.872752,Personal Auto,SUV,California,F
UR56056,,,Bachelor,10881.77039,73268,137,0,41.139806,Personal Auto,SUV,Oregon,M
VN30344,,,College,5412.696604,0,80,0,576.0,Personal Auto,Four-Door Car,California,M
YE67531,,,High School or Below,8382.630118,19683,117,1,561.6,Personal Auto,Sports Car,Oregon,M
EW67348,,,College,4834.710493,38713,66,4,316.8,Personal Auto,Four-Door Car,Nevada,F
PD69398,,,College,21710.27538,62370,94,2,32.00761,Corporate Auto,Four-Door Car,Washington,M
YT43943,,,High School or Below,2430.870824,28476,62,0,297.6,Personal Auto,Four-Door Car,California,F
ON74557,,,Bachelor,14651.6153,74915,122,0,393.151377,Personal Auto,SUV,California,M
JL52508,,,Doctor,5073.282126,57709,125,0,600.0,Personal Auto,SUV,Oregon,M
UI62725,,,Bachelor,5520.476175,94676,69,0,331.2,Corporate Auto,Four-Door Car,Oregon,M
LO75919,,,Bachelor,6008.184526,43543,76,0,339.255348,Personal Auto,Two-Door Car,Arizona,M
SM62247,,,High School or Below,24543.19862,68297,212,3,1272.487601,Corporate Auto,Luxury Car,Nevada,F
AF20716,,,Bachelor,2429.374554,74241,61,0,138.588291,Personal Auto,Two-Door Car,Oregon,M
LQ22609,,,College,3452.029549,61385,86,0,199.299449,Personal Auto,Four-Door Car,Arizona,F
ZP80265,,,Bachelor,4109.310394,0,62,0,446.4,Personal Auto,Two-Door Car,Oregon,M
BO87401,,,College,8714.922135,0,118,0,566.4,Personal Auto,SUV,Nevada,F
SX20211,,,College,8110.305608,52548,101,0,587.504777,Personal Auto,Four-Door Car,Oregon,M
EK61334,,,Bachelor,3669.83263,0,95,0,429.657692,Personal Auto,Four-Door Car,California,F
QJ49871,,,College,3893.305281,26605,100,0,933.330936,Personal Auto,SUV,Oregon,M
OO65445,,,Bachelor,2496.476385,0,67,0,181.335364,Personal Auto,Four-Door Car,Oregon,F
WP55297,,,Bachelor,4629.970602,0,70,0,754.945216,Personal Auto,Four-Door Car,Washington,M
WY12393,,,High School or Below,17684.65456,82667,64,1,307.2,Special Auto,Two-Door Car,Washington,F
JF32940,,,Bachelor,15663.65604,31789,130,0,316.418786,Personal Auto,SUV,Oregon,F
WX84274,,,Bachelor,4940.124252,0,71,0,551.569883,Corporate Auto,Four-Door Car,Oregon,F
CW85845,,,High School or Below,2754.461855,25151,69,0,318.040989,Corporate Auto,Four-Door Car,California,F
IO57824,,,Bachelor,2953.797658,0,87,2,414.190987,Personal Auto,Four-Door Car,Arizona,M
AX86552,,,College,6198.793072,24053,87,1,624.532492,Personal Auto,Four-Door Car,California,M
LM84078,,,College,12176.00621,0,117,0,1373.258272,Personal Auto,SUV,Oregon,M
GG87344,,,College,4035.009284,55407,101,1,275.341953,Personal Auto,SUV,Oregon,F
LA35379,,,Master,2954.387586,62461,73,0,129.267408,Personal Auto,Four-Door Car,Oregon,F
EZ43738,,,Bachelor,5204.64616,29406,68,0,326.4,Personal Auto,Four-Door Car,California,F
DF49110,,,Doctor,8100.243093,89420,67,0,212.455137,Personal Auto,Four-Door Car,Oregon,M
IL32727,,,High School or Below,4443.631711,0,121,0,644.269611,Personal Auto,SUV,California,F
QV55524,,,College,7503.367741,52464,95,0,515.930856,Personal Auto,Four-Door Car,Washington,M
EB55390,,,Master,2548.509175,43731,64,2,162.461078,Special Auto,Four-Door Car,Oregon,F
KB54415,,,High School or Below,2473.368225,13449,68,0,326.4,Personal Auto,Four-Door Car,Arizona,M
PG14554,,,Bachelor,32777.30467,0,115,0,552.0,Personal Auto,SUV,Arizona,M
QI63521,,,High School or Below,19228.46362,0,187,0,897.6,Personal Auto,Luxury SUV,Nevada,M
DC85335,,,College,4538.117454,49821,61,4,333.308611,Personal Auto,Four-Door Car,Oregon,M
SR26762,,,Bachelor,7663.514373,34837,63,0,72.828431,Personal Auto,Four-Door Car,California,F
UH86550,,,College,4177.288153,44222,104,0,413.196371,Personal Auto,Four-Door Car,Oregon,F
ON72594,,,Master,11776.00378,58881,97,0,354.885018,Personal Auto,Four-Door Car,California,F
